लंबी प्रश्नावली,सीसीए का नाम,गांव,पंचायत,देश,स्थान,क्षेत्रफल (हेक्टेयर में),पारिस्थितिकी तंत्र प्रकार,पारिस्थितिकी तंत्र - अधिक जानकारी,समुदाय,परिवारों की संख्या,लोगों की संख्या,उत्पत्ति,इतिहास,गठन की तिथि,प्रेरणाएँ,प्रेरणाएँ - अतिरिक्त विवरण,सीसीए का संघ या समूह,सीसीए का संघ या समूह - अतिरिक्त विवरण,सम्मिलित लोग,निर्णय लेने वाली संस्था,नियमों और विनियमों का स्वरूप,नियम और विनियम - अतिरिक्त विवरण,वर्ष के दौरान सामुदायिक गतिविधियाँ,पारिस्थितिक बहाली और जैव विविधता संरक्षण,कानूनी स्थिति,एफआरए प्रयोज्यता,सामुदायिक वन अधिकार (सीएफआर),सीएफआर दावा दाखिल करने की तिथि,सीएफआर दावे का स्तर,सीएफआर दावे की मान्यता की तिथि,सीएफआर-अतिरिक्त विवरण,प्रबंधन योजना की स्थिति,भूमि स्वामित्व,अन्य मान्यता प्राप्त दर्जा,पवित्र स्थल,कानूनी और अन्य मान्यताएं - अतिरिक्त विवरण,आजीविका और निर्वाह पर प्रभाव,सामाजिक प्रभाव,पारिस्थितिक प्रभाव,प्रभाव - अतिरिक्त विवरण,अवसर,आंतरिक खतरे और चुनौतियाँ,बाहरी खतरे और चुनौतियाँ,खतरे और चुनौतियाँ- अतिरिक्त विवरण,आवश्यकताएँ,भविष्य की योजनाएं,सूचना स्रोत,सूचना प्रदाता,अध्ययन की तिथि,लाइसेंस,विशिष्ट शब्दों की शब्दावली,संदर्भ,समाचार और अपडेट,मल्टीमीडिया,
19,पलेसर,पलेसर,लांबा हल्दू,भारत,24.40941297 | 73.2085601453,16.29,घास के मैदान | वन | नदी,कुआरा पारा नदी,राजपूत | भील | गरासिया | मेघवाल,475,2850,सामुदायिक पहल द्वारा पुनर्जीवित | बाह्य गैर सरकारी एजेंसी द्वारा नई पहल,"पंचायत द्वारा ग्राम समूह के सहयोग से खड़्डे खुदाई का कार्य किया गया बाद में सेवा मन्दिर संस्था द्वारा सी.सी.ए.पलेसर में ग्राम समूह के सहयोग से बॉउंड्री वाल, खड्डे खुदाई, पौधा रोपण कार्य किया गया था। चारागाह-चक के पास में एक कास्तकार ने उस पर कब्जा करने की कोशिश की थी। चारागाह चक में पालतु जानवरो को डालकर चारागाह को नुकसान पहुंचाया। उसके बाद ग्राम समुह पलेसर एवं पंचायत ने मिलकर",2004,आजीविका हेतू | पारिस्थितिकी कार्य हेतू | स्व-सशक्तिकरण हेतू | प्राकृतिक आवास और प्रजातियों के संरक्षण हेतू | वन्य जैव विविधता संरक्षण | कृषि और पशुधन विविधता संरक्षण हेतू | बाहरी खतरे के जवाब हेतू,चारागाह जमीन से गांव के समुदाय को आर्थिक और सामाजिक सुधार हुआ इसके कारण इसको निरंतर विकसित करने का प्रयास किया जा रहा है।,हाँ,सी.सी.ए का संघ समूह एक ग्राम विकास कमेटी है जो की समुदाय के द्वारा निर्वाचन कर ग्राम विकास कमेटी बनती है क्षेत्र आधारित 20 या 25 ग्राम विकास कमेटियों का एक संघ बनाया है जो क्षेत्रीय विकास मंच कहलाता है जो क्षेत्र की विभिन्न समस्याओं के समाधान के लिए कार्य करता है।,गांव के अगवा लोग युवा महिलाए इस पहल में सम्मिलित है तथा समुदाय के भीतर ये सभी कमेटियों के सदस्य है और इनका ग्राम पंचायत व ग्राम सभा के साथ सम्बन्ध है। गांव की समाज की महिलाए युवा और वंचित वर्ग भी इस पहल में सम्मिलित है इनकी भागीदारी गांव की समूह बैठक एवं स्वयं सहायता समूह की बैठकों के माध्यम से इनकी भागीदारी तय की जाती है। ग्राम पंचायत के द्वारा इन कार्यो के लिए अनापत्ति प्रमाण पत्र जारी करती है व अच्छी भागीदारी निभाती है।,ग्राम सभा | पंचायत | संसाधन उपयोगकर्ता | महिला समिति | ग्राम विकास कमिटी | फेडरेशन,अनौपचारिक,केवल ग्राम समूह के लोग ही उपयोग कर सकते है और संरक्षित क्षेत्र में निर्धारित समय तक के लिए पशुओं की चराई पर रोक लगाई जाती है | समूह कमिटी द्वारा निर्धारित दंड के रूप में दंड राशि ली जाती है। ग्राम समूह द्वारा इन समस्याओं को निपटाया जाता है। | एक ऐसी ही घटना में जब एक व्यक्ति ने संरक्षित क्षेत्र में कब्जा किया तो ग्राम समूह के लोगो तथा ग्राम पंचायत ने मिलकर उसके खिलाफ FIR दर्ज कराकर उच्च न्यायालय से फैसला कराया तथा कब्जा हटवाकर लोगो को न्याय दिलाया।,अग्नि प्रबंधन | उत्पाद विनियमन | वृक्षारोपण और बहाली गतिविधियाँ | मृदा और जल संरक्षण | बाड़ लगाना,बॉउंड्री निर्माण | चेक डेम निर्माण| ट्रेंच खुदाई| वृक्षरोपण| धामण घास लगाना इत्यादि कार्य किये गए एवं समुदाय ने मिल कर सामाजिक स्तर पर यह निर्णय लिया गया है की पशु-पक्षियों का शिकार नहीं करेंगा जिससे चारागाह में विभिन्न प्रकार जिव जन्तुओ व पक्षियों की संख्या में वृद्धि हुई। 5630 पेड़ लगाए गए।,चारागाह भूमि | यह क्षेत्र पीईएसए के अंतर्गत आता है,,,,,,,,ग्राम पंचायत,,,क़ानूनी रूप से चारागाह CCA का स्वामित्व ग्राम पंचायत का है इससे सम्बंधित सभी निर्णय ग्राम सभा में लिए जाते है| पूर्व में यह जमीन मवेशियों की संख्या के आधार पर राजश्व गांव को चराई के लिए आवंटित की गयी थी। अब खुली चराई नहीं करके चारागाह सुरक्षा और सरक्षण के चलते घास काट कर मवेशियों को खिलाई जाती है।,चारा कटाई | जलाऊ लकड़ी | इमारती लकड़ी,सामुदायिक सशक्तिकरण | महिलाओं/युवाओं/वंचित वर्गों का सशक्तिकरण | सुनिश्चित भूमि स्वामित्व या भू-पहुंच | बाहरी खतरे में कमी | संकट प्रवास में रोकथाम,प्राकृतिक आवास में सुधार और बहाली | वन्यजीवों की विविधता और जनसंख्या में वृद्धि | जल आपूर्ति और मिट्टी की उर्वरता जैसी पारिस्थितिक सेवाओं में सुधार,चारागाह के सुरक्षा और सरक्षण के कारण प्राकृतिक पौधों की संख्या में वृद्धि हुई है एवं जंगली जानवरों को रहने के सुरक्षित जगह मिली और पानी की उपलब्धता सुनिश्चित हुई। सभी जाती वर्ग| लिंग के लोग एक साथ बैठ कर विकास की चर्चा करने लगे है |,सरकार के नियमो के अनुसार चारागाह भूमि किसी को आवंटित नहीं कर सकते इस पर पंचायत का अधिकार है इसलिए समुदाय ने इस भूमि के सरक्षण और सुरक्षा की जिम्मेदारी ली और सेवा मंदिर के द्वारा आर्थिक और तकनिकी जानकारी प्रदान करी।,आंतरिक मतभेद और असमानताएं,भूमि स्वामित्व या कार्यकाल संबंधित मुद्दे,,प्रक्षिशण के माध्यम से समुदाय को जागरूक करना जिससे चारागाह लम्बे समय तक सरक्षित रहे। आर्थिक सहायता की आवश्यकता,फलदार पौधे लगाना। पौधों की छंगाई। बॉउंड्री पक्की करवाना। चारागाह प्रबंधन। वृक्षारोपण। ग्राम पंचायत से NOC नवीनीकरण | आजिविका बढ़ाने में सहयोग | घास प्रबंधन | प्रबंधन व जागरूकता प्रशिक्षण,सार्वजनिक रूप से उपलब्ध स्रोतों से | समुदाय के सदस्य/सदस्यों द्वारा | समुदाय के सदस्य की अनुमति के साथ बाहरी इकाई द्वारा,ग्राम विकास कमिटी | ग्राम समूह सदस्य। सेवा मंदिर संस्था प्रतिनिधि,8-22-2023,,,,,,
20,डुंगरिया,डुंगरिया,बड़ली,भारत,24.3168203311 | 73.2259824921,13.94,घास के मैदान | वन | नदी,पहाड़ी क्षैत्र  | वाकल नदी,भील,600,3000,सामुदायिक पहल द्वारा पुनर्जीवित | बाह्य गैर सरकारी एजेंसी द्वारा नई पहल,"इस क्षेत्र में पंचायत के द्वारा बाउंड्रीवाल का कार्य किया गया था। उसके बाद चारागाह क्षेत्र अव्यवस्थित हो गया उसके बाद सेवा मन्दिर संस्था द्वारा ग्राम समूह के सहयोग से पंचायत से NOC लेकर इस क्षेत्र में दुबारा कार्य किया गया जिसमें बॉउंड्रीवाल,खड्डे खुदाई,पौधरोपण का कार्य किया गया था।",2004,आजीविका हेतू | पारिस्थितिकी कार्य हेतू | स्व-सशक्तिकरण हेतू | प्राकृतिक आवास और प्रजातियों के संरक्षण हेतू | वन्य जैव विविधता संरक्षण | कृषि और पशुधन विविधता संरक्षण हेतू | बाहरी खतरे के जवाब हेतू,पर्यावरण संरक्षण हेतु| पशुओं के लिए चारा| कब्जो को रोकने के लिए,हाँ,सी.सी.ए का संघ समूह एक ग्राम विकास कमेटी है जो की समुदाय के द्वारा निर्वाचन कर ग्राम विकास कमेटी बनती है क्षेत्र आधारित 20 या 25 ग्राम विकास कमेटियों का एक संघ बनाया है जो क्षेत्रीय विकास मंच कहलाता है जो क्षेत्र की विभिन्न समस्याओं के समाधान के लिए कार्य करता है।,गांव के अगवा लोग युवा महिलाए इस पहल में सम्मिलित है तथा समुदाय के भीतर ये सभी कमेटियों के सदस्य है और इनका ग्राम पंचायत व ग्राम सभा के साथ सम्बन्ध है। गांव की समाज की महिलाए युवा और वंचित वर्ग भी इस पहल में सम्मिलित है इनकी भागीदारी गांव की समूह बैठक एवं स्वयं सहायता समूह की बैठकों के माध्यम से इनकी भागीदारी तय की जाती है। ग्राम पंचायत के द्वारा इन कार्यो के लिए अनापत्ति प्रमाण पत्र जारी करती है व अच्छी भागीदारी निभाती है।,ग्राम सभा | पंचायत | संसाधन उपयोगकर्ता | महिला समिति | ग्राम विकास कमिटी | फेडरेशन,अनौपचारिक,केवल ग्राम समूह के लोग ही उपयोग कर सकते है और संरक्षित क्षेत्र में निर्धारित समय तक के लिए पशुओं की चराई पर रोक लगाई जाती है | समूह कमिटी द्वारा निर्धारित दंड के रूप में दंड राशि ली जाती है। ग्राम समूह द्वारा इन समस्याओं को निपटाया जाता है। | एक ऐसी ही घटना में जब एक व्यक्ति ने संरक्षित क्षेत्र में कब्जा किया तो ग्राम समूह के लोगो तथा ग्राम पंचायत ने मिलकर उसके खिलाफ FIR दर्ज कराकर उच्च न्यायालय से फैसला कराया तथा कब्जा हटवाकर लोगो को न्याय दिलाया।,अग्नि प्रबंधन | उत्पाद विनियमन | पेट्रोलिंग| वॉच और वार्ड | वृक्षारोपण और बहाली गतिविधियाँ | मृदा और जल संरक्षण | बाड़ लगाना | अतिक्रमण हटाना,बॉउंड्री निर्माण | चेक डेम निर्माण| ट्रेंच खुदाई| वृक्षरोपण| धामण घास लगाना इत्यादि कार्य किये गए एवं समुदाय ने मिल कर सामाजिक स्तर पर यह निर्णय लिया गया है की पशु-पक्षियों का शिकार नहीं करेंगा जिससे चारागाह में विभिन्न प्रकार जिव जन्तुओ व पक्षियों की संख्या में वृद्धि हुई। 6500 पेड़ लगाए गए।,चारागाह भूमि | यह क्षेत्र पीईएसए के अंतर्गत आता है,,,,,,,,ग्राम पंचायत,,,क़ानूनी रूप से चारागाह CCA का स्वामित्व ग्राम पंचायत का है इससे सम्बंधित सभी निर्णय ग्राम सभा में लिए जाते है| पूर्व में यह जमीन मवेशियों की संख्या के आधार पर राजश्व गांव को चराई के लिए आवंटित की गयी थी। अब खुली चराई नहीं करके चारागाह सुरक्षा और सरक्षण के चलते घास काट कर मवेशियों को खिलाई जाती है।,चारा कटाई | जलाऊ लकड़ी | इमारती लकड़ी,सामुदायिक सशक्तिकरण | महिलाओं/युवाओं/वंचित वर्गों का सशक्तिकरण | सुनिश्चित भूमि स्वामित्व या भू-पहुंच | बाहरी खतरे में कमी | संकट प्रवास में रोकथाम,प्राकृतिक आवास में सुधार और बहाली | वन्यजीवों की विविधता और जनसंख्या में वृद्धि | जल आपूर्ति और मिट्टी की उर्वरता जैसी पारिस्थितिक सेवाओं में सुधार,चारागाह के सुरक्षा और सरक्षण के कारण प्राकृतिक पौधों की संख्या में वृद्धि हुई है एवं जंगली जानवरों को रहने के सुरक्षित जगह मिली और पानी की उपलब्धता सुनिश्चित हुई। सभी जाती वर्ग| लिंग के लोग एक साथ बैठ कर विकास की चर्चा करने लगे है इससे बदलाव देखने को मिल रहा है।,सरकार के नियमो के अनुसार चारागाह भूमि किसी को आवंटित नहीं कर सकते इस पर पंचायत का अधिकार है इसलिए समुदाय ने इस भूमि के सरक्षण और सुरक्षा की जिम्मेदारी ली और सेवा मंदिर के द्वारा आर्थिक और तकनिकी जानकारी प्रदान करी।,आंतरिक मतभेद और असमानताएं | अधिक कटाई समुदाय के भीतर से | सामाजिक-सांस्कृतिक प्रथाओं और आकांक्षाओं को बदलना |,भूमि स्वामित्व या कार्यकाल संबंधित मुद्दे,,प्रक्षिशण के माध्यम से समुदाय को जागरूक करना जिससे चारागाह लम्बे समय तक सरक्षित रहे। आर्थिक सहायता की आवश्यकता,फलदार पौधे लगाना। पौधों की छंगाई। बॉउंड्री पक्की करवाना। चारागाह प्रबंधन। वृक्षारोपण। ग्राम पंचायत से NOC नवीनीकरण | आजिविका बढ़ाने में सहयोग | घास प्रबंधन | प्रबंधन व जागरूकता प्रशिक्षण,सार्वजनिक रूप से उपलब्ध स्रोतों से | समुदाय के सदस्य/सदस्यों द्वारा | समुदाय के सदस्य की अनुमति के साथ बाहरी इकाई द्वारा,ग्राम विकास कमिटी | ग्राम समूह सदस्य। सेवा मंदिर संस्था प्रतिनिधि,8-25-2023,,,,,,
21,धनोधर,धनोधर,काउचा,भारत,24.476735559 | 73.2303300137,19.8,घास के मैदान | वन | नदी,घास के मैदान | पापरी नदी (टाडा पाणी)| जोगीवाड़ बांध| पर्वतीय,राजपूत | भील | गरासिया,480,2400,सामुदायिक पहल द्वारा पुनर्जीवित | बाह्य गैर सरकारी एजेंसी द्वारा नई पहल,चारागाह चक का निर्माण ग्राम पंचायत जोगीवड़ के द्वारा बॉउंड्रीवाल खड़्डे खुदाई व पौधा रोपण का कार्य वर्ष 1980 में चारागाह के रूप में किया गया। वर्ष 1990 में इसी चारागाह चक पर भूमि सूधार जलग्रहण विभाग ने कार्य किया उसके बाद चारागाह अव्यवस्थित होने के कारण वर्ष 2001 में सेवा मंदिर ने चारागाह चक पर बॉउंड्रीवाल खड़्डे खुदाई चेकडेम व पौधा रोपण का कार्य किया गया था लम्बे समय होने के कारण इसको वापिस सूधार की आवश्यकता थी तो वर्ष 2022 में फिर से सेवा मंदिर संस्था ने कार्य किया।,1990,आजीविका हेतू | पारिस्थितिकी कार्य हेतू | स्व-सशक्तिकरण हेतू | प्राकृतिक आवास और प्रजातियों के संरक्षण हेतू | वन्य जैव विविधता संरक्षण | कृषि और पशुधन विविधता संरक्षण हेतू | बाहरी खतरे के जवाब हेतू,चारागाह जमीन से गांव के समुदाय को आर्थिक और सामाजिक सुधार हुआ इसके कारण इसको निरंतर विकसित करने का प्रयास किया जा रहा है।,हाँ,सी.सी.ए का संघ समूह एक ग्राम विकास कमेटी है जो की समुदाय के द्वारा निर्वाचन कर ग्राम विकास कमेटी बनती है क्षेत्र आधारित 20 या 25 ग्राम विकास कमेटियों का एक संघ बनाया है जो क्षेत्रीय विकास मंच कहलाता है जो क्षेत्र की विभिन्न समस्याओं के समाधान के लिए कार्य करता है।,गांव के अगवा लोग युवा महिलाए इस पहल में सम्मिलित है तथा समुदाय के भीतर ये सभी कमेटियों के सदस्य है और इनका ग्राम पंचायत व ग्राम सभा के साथ सम्बन्ध है। गांव की समाज की महिलाए युवा और वंचित वर्ग भी इस पहल में सम्मिलित है इनकी भागीदारी गांव की समूह बैठक एवं स्वयं सहायता समूह की बैठकों के माध्यम से इनकी भागीदारी तय की जाती है। ग्राम पंचायत के द्वारा इन कार्यो के लिए अनापत्ति प्रमाण पत्र जारी करती है व अच्छी भागीदारी निभाती है।,ग्राम सभा | पंचायत | संसाधन उपयोगकर्ता | महिला समिति | ग्राम विकास कमिटी | फेडरेशन,अनौपचारिक,केवल ग्राम समूह के लोग ही उपयोग कर सकते है और संरक्षित क्षेत्र में निर्धारित समय तक के लिए पशुओं की चराई पर रोक लगाई जाती है | समूह कमिटी द्वारा निर्धारित दंड के रूप में दंड राशि ली जाती है। ग्राम समूह द्वारा इन समस्याओं को निपटाया जाता है। | एक ऐसी ही घटना में जब एक व्यक्ति ने संरक्षित क्षेत्र में कब्जा किया तो ग्राम समूह के लोगो तथा ग्राम पंचायत ने मिलकर उसके खिलाफ FIR दर्ज कराकर उच्च न्यायालय से फैसला कराया तथा कब्जा हटवाकर लोगो को न्याय दिलाया।,अग्नि प्रबंधन | उत्पाद विनियमन | पेट्रोलिंग| वॉच और वार्ड | वृक्षारोपण और बहाली गतिविधियाँ | मृदा और जल संरक्षण | बाड़ लगाना | अतिक्रमण हटाना,बॉउंड्री निर्माण | चेक डेम निर्माण| ट्रेंच खुदाई| वृक्षरोपण| धामण घास लगाना इत्यादि कार्य किये गए एवं समुदाय ने मिल कर सामाजिक स्तर पर यह निर्णय लिया गया है की पशु-पक्षियों का शिकार नहीं करेंगा जिससे चारागाह में विभिन्न प्रकार जिव जन्तुओ व पक्षियों की संख्या में वृद्धि हुई। 4650 पेड़ लगाए गए।,चारागाह भूमि | यह क्षेत्र पीईएसए के अंतर्गत आता है,,,,,,,,ग्राम पंचायत,,,क़ानूनी रूप से चारागाह CCA का स्वामित्व ग्राम पंचायत का है इससे सम्बंधित सभी निर्णय ग्राम सभा में लिए जाते है| पूर्व में यह जमीन मवेशियों की संख्या के आधार पर राजश्व गांव को चराई के लिए आवंटित की गयी थी। अब खुली चराई नहीं करके चारागाह सुरक्षा और सरक्षण के चलते घास काट कर मवेशियों को खिलाई जाती है।,चारा कटाई | जलाऊ लकड़ी | इमारती लकड़ी,सामुदायिक सशक्तिकरण | महिलाओं/युवाओं/वंचित वर्गों का सशक्तिकरण | सुनिश्चित भूमि स्वामित्व या भू-पहुंच | बाहरी खतरे में कमी | संकट प्रवास में रोकथाम,प्राकृतिक आवास में सुधार और बहाली | वन्यजीवों की विविधता और जनसंख्या में वृद्धि | जल आपूर्ति और मिट्टी की उर्वरता जैसी पारिस्थितिक सेवाओं में सुधार,चारागाह के सुरक्षा और सरक्षण के कारण प्राकृतिक पौधों की संख्या में वृद्धि हुई है एवं जंगली जानवरों को रहने के सुरक्षित जगह मिली और पानी की उपलब्धता सुनिश्चित हुई। सभी जाती वर्ग| लिंग के लोग एक साथ बैठ कर विकास की चर्चा करने लगे है इससे बदलाव देखने को मिल रहा है।,सरकार के नियमो के अनुसार चारागाह भूमि किसी को आवंटित नहीं कर सकते इस पर पंचायत का अधिकार है इसलिए समुदाय ने इस भूमि के सरक्षण और सुरक्षा की जिम्मेदारी ली और सेवा मंदिर के द्वारा आर्थिक और तकनिकी जानकारी प्रदान करी।,,भूमि स्वामित्व या कार्यकाल संबंधित मुद्दे,,प्रक्षिशण के माध्यम से समुदाय को जागरूक करना जिससे चारागाह लम्बे समय तक सरक्षित रहे। आर्थिक सहायता की आवश्यकता,फलदार पौधे लगाना। पौधों की छंगाई। बॉउंड्री पक्की करवाना। चारागाह प्रबंधन। वृक्षारोपण। ग्राम पंचायत से NOC नवीनीकरण | आजिविका बढ़ाने में सहयोग | घास प्रबंधन | प्रबंधन व जागरूकता प्रशिक्षण,सार्वजनिक रूप से उपलब्ध स्रोतों से | समुदाय के सदस्य/सदस्यों द्वारा | समुदाय के सदस्य की अनुमति के साथ बाहरी इकाई द्वारा,ग्राम विकास कमिटी | ग्राम समूह सदस्य। सेवा मंदिर संस्था प्रतिनिधि,9-2-2023,,,,,,
22,काऊचा,काऊचा,काऊचा,भारत,24.4531070341 | 73.2451241008,22.75,घास के मैदान | वन | तालाब,घास के मैदान | राणकी वेली| जोगीवड बांध| वागड़ा पहाड़,राजपूत | भील | गरासिया,272,1362,सामुदायिक पहल द्वारा पुनर्जीवित | बाह्य गैर सरकारी एजेंसी द्वारा नई पहल,इस क्षेत्र का उपयोग चारागाह चक के रूप में किया जा रहा है इसका निर्माण 1998 में ग्राम पंचायत जोगीवड़ ने चारागाह चक के लिए किया गया था उसके बाद यह क्षेत्र अव्यवस्थित था वर्ष 2006 में ग्राम समूह से सेवा मंदिर संस्था के माध्यम से पंचायत से 5 वर्ष कार्य करने के लिए अनापति प्रमाण पत्र लेकर इस पर बॉउंड्रीवाल व पौधा रोपण कार्य किया गया।,2006,आजीविका हेतू | पारिस्थितिकी कार्य हेतू | स्व-सशक्तिकरण हेतू | प्राकृतिक आवास और प्रजातियों के संरक्षण हेतू | वन्य जैव विविधता संरक्षण | कृषि और पशुधन विविधता संरक्षण हेतू | बाहरी खतरे के जवाब हेतू,चारागाह जमीन से गांव के समुदाय को आर्थिक और सामाजिक सुधार हुआ इसके कारण इसको निरंतर विकसित करने का प्रयास किया जा रहा है।,हाँ,सी.सी.ए का संघ समूह एक ग्राम विकास कमेटी है जो की समुदाय के द्वारा निर्वाचन कर ग्राम विकास कमेटी बनती है क्षेत्र आधारित 20 या 25 ग्राम विकास कमेटियों का एक संघ बनाया है जो क्षेत्रीय विकास मंच कहलाता है जो क्षेत्र की विभिन्न समस्याओं के समाधान के लिए कार्य करता है।,गांव के अगवा लोग युवा महिलाए इस पहल में सम्मिलित है तथा समुदाय के भीतर ये सभी कमेटियों के सदस्य है और इनका ग्राम पंचायत व ग्राम सभा के साथ सम्बन्ध है। गांव की समाज की महिलाए युवा और वंचित वर्ग भी इस पहल में सम्मिलित है इनकी भागीदारी गांव की समूह बैठक एवं स्वयं सहायता समूह की बैठकों के माध्यम से इनकी भागीदारी तय की जाती है। ग्राम पंचायत के द्वारा इन कार्यो के लिए अनापत्ति प्रमाण पत्र जारी करती है व अच्छी भागीदारी निभाती है।,ग्राम सभा | पंचायत | संसाधन उपयोगकर्ता | महिला समिति | ग्राम विकास कमिटी | फेडरेशन,अनौपचारिक,केवल ग्राम समूह के लोग ही उपयोग कर सकते है और संरक्षित क्षेत्र में निर्धारित समय तक के लिए पशुओं की चराई पर रोक लगाई जाती है | समूह कमिटी द्वारा निर्धारित दंड के रूप में दंड राशि ली जाती है। ग्राम समूह द्वारा इन समस्याओं को निपटाया जाता है। | एक ऐसी ही घटना में जब एक व्यक्ति ने संरक्षित क्षेत्र में कब्जा किया तो ग्राम समूह के लोगो तथा ग्राम पंचायत ने मिलकर उसके खिलाफ FIR दर्ज कराकर उच्च न्यायालय से फैसला कराया तथा कब्जा हटवाकर लोगो को न्याय दिलाया।,अग्नि प्रबंधन | उत्पाद विनियमन | पेट्रोलिंग| वॉच और वार्ड | वृक्षारोपण और बहाली गतिविधियाँ | मृदा और जल संरक्षण | बाड़ लगाना | अतिक्रमण हटाना,बॉउंड्री निर्माण | चेक डेम निर्माण| ट्रेंच खुदाई| वृक्षरोपण| धामण घास लगाना इत्यादि कार्य किये गए एवं समुदाय ने मिल कर सामाजिक स्तर पर यह निर्णय लिया गया है की पशु-पक्षियों का शिकार नहीं करेंगा जिससे चारागाह में विभिन्न प्रकार जिव जन्तुओ व पक्षियों की संख्या में वृद्धि हुई। 4400 पेड़ लगाए गए।,चारागाह भूमि | यह क्षेत्र पीईएसए के अंतर्गत आता है,,,,,,,,ग्राम पंचायत,,,क़ानूनी रूप से चारागाह CCA का स्वामित्व ग्राम पंचायत का है इससे सम्बंधित सभी निर्णय ग्राम सभा में लिए जाते है| पूर्व में यह जमीन मवेशियों की संख्या के आधार पर राजश्व गांव को चराई के लिए आवंटित की गयी थी। अब खुली चराई नहीं करके चारागाह सुरक्षा और सरक्षण के चलते घास काट कर मवेशियों को खिलाई जाती है।,चारा कटाई | जलाऊ लकड़ी | इमारती लकड़ी,सामुदायिक सशक्तिकरण | महिलाओं/युवाओं/वंचित वर्गों का सशक्तिकरण | सुनिश्चित भूमि स्वामित्व या भू-पहुंच | बाहरी खतरे में कमी | संकट प्रवास में रोकथाम,प्राकृतिक आवास में सुधार और बहाली | वन्यजीवों की विविधता और जनसंख्या में वृद्धि | जल आपूर्ति और मिट्टी की उर्वरता जैसी पारिस्थितिक सेवाओं में सुधार,चारागाह के सुरक्षा और सरक्षण के कारण प्राकृतिक पौधों की संख्या में वृद्धि हुई है एवं जंगली जानवरों को रहने के सुरक्षित जगह मिली और पानी की उपलब्धता सुनिश्चित हुई। सभी जाती वर्ग| लिंग के लोग एक साथ बैठ कर विकास की चर्चा करने लगे है इससे बदलाव देखने को मिल रहा है।,सरकार के नियमो के अनुसार चारागाह भूमि किसी को आवंटित नहीं कर सकते इस पर पंचायत का अधिकार है इसलिए समुदाय ने इस भूमि के सरक्षण और सुरक्षा की जिम्मेदारी ली और सेवा मंदिर के द्वारा आर्थिक और तकनिकी जानकारी प्रदान करी।,,भूमि स्वामित्व या कार्यकाल संबंधित मुद्दे,,प्रक्षिशण के माध्यम से समुदाय को जागरूक करना जिससे चारागाह लम्बे समय तक सरक्षित रहे। आर्थिक सहायता की आवश्यकता,फलदार पौधे लगाना। पौधों की छंगाई। बॉउंड्री पक्की करवाना। चारागाह प्रबंधन। वृक्षारोपण। ग्राम पंचायत से NOC नवीनीकरण | आजिविका बढ़ाने में सहयोग | घास प्रबंधन | प्रबंधन व जागरूकता प्रशिक्षण,सार्वजनिक रूप से उपलब्ध स्रोतों से | समुदाय के सदस्य/सदस्यों द्वारा | समुदाय के सदस्य की अनुमति के साथ बाहरी इकाई द्वारा,ग्राम समूह सदस्य। सेवा मंदिर संस्था प्रतिनिधि,9-3-2023,,,,,,
